net,length_um
net116,3.78µm
_128_,3.56µm
clk_cnt\[26\],3.56µm
net107,3.56µm
_066_,3.54µm
_097_,3.54µm
_106_,3.54µm
_112_,3.54µm
_218_,3.54µm
clk_cnt\[21\],3.54µm
net105,3.54µm
net119,3.54µm
_188_,3.42µm
_273_,3.42µm
_277_,3.42µm
_054_,3.3µm
_057_,3.3µm
_163_,3.22µm
_082_,3.2µm
_157_,3.2µm
net82,3.1µm
net88,3.08µm
_059_,3.08µm
_133_,3.08µm
_236_,3.08µm
net129,3.08µm
net138,3.08µm
_129_,2.96µm
_130_,2.96µm
_219_,2.96µm
_239_,2.96µm
net95,2.96µm
_145_,2.91µm
_173_,2.86µm
_034_,2.84µm
_138_,2.76µm
net124,2.76µm
_069_,2.74µm
_079_,2.74µm
_087_,2.74µm
_098_,2.74µm
net120,2.74µm
clk_cnt\[12\],2.72µm
net106,2.64µm
_001_,2.62µm
net66,2.62µm
_028_,2.62µm
_043_,2.62µm
_047_,2.62µm
_062_,2.62µm
_072_,2.62µm
_073_,2.62µm
_076_,2.62µm
_088_,2.62µm
_091_,2.62µm
_271_,2.62µm
_263_,2.52µm
net22,2.52µm
_190_,2.5µm
_221_,2.5µm
clk_cnt\[14\],2.5µm
_178_,2.3µm
clk_cnt\[15\],2.3µm
net117,2.3µm
net134,2.3µm
_027_,2.28µm
_048_,2.28µm
_051_,2.28µm
_058_,2.28µm
_081_,2.28µm
_084_,2.28µm
_120_,2.28µm
_276_,2.28µm
_096_,2.21µm
net81,2.18µm
_046_,2.18µm
_083_,2.18µm
_093_,2.18µm
_094_,2.18µm
_101_,2.18µm
_102_,2.18µm
_107_,2.18µm
_223_,2.18µm
_226_,2.18µm
_229_,2.18µm
_238_,2.18µm
net70,2.16µm
_061_,2.16µm
_071_,2.16µm
_074_,2.16µm
_077_,2.16µm
_085_,2.16µm
_086_,2.16µm
_113_,2.16µm
_131_,2.16µm
_211_,2.16µm
_224_,2.16µm
_230_,2.16µm
net5,2.16µm
net92,2.16µm
net94,2.16µm
net122,2.16µm
net131,2.16µm
net133,2.06µm
net83,2.04µm
net77,2.04µm
net72,2.04µm
net69,2.04µm
_023_,2.04µm
_169_,2.04µm
_210_,2.04µm
_279_,2.04µm
net91,2.005µm
net68,1.84µm
_189_,1.84µm
net89,1.84µm
net96,1.84µm
net111,1.84µm
net114,1.84µm
net115,1.84µm
net118,1.84µm
_042_,1.82µm
_060_,1.82µm
_075_,1.82µm
_089_,1.82µm
_100_,1.82µm
_115_,1.82µm
_244_,1.82µm
_280_,1.82µm
net80,1.7µm
_108_,1.7µm
clk_cnt\[25\],1.7µm
net97,1.7µm
net132,1.7µm
_137_,1.38µm
_078_,1.36µm
_090_,1.36µm
_105_,1.36µm
_185_,1.36µm
_272_,1.26µm
clk_cnt\[31\],1.26µm
_176_,1.22µm
_161_,1.15µm
_052_,1.14µm
_065_,1.08µm
net127,1.08µm
_136_,1.02µm
_268_,0.92µm
clk_cnt\[19\],0.92µm
net108,0.92µm
clk_cnt\[20\],0.46µm
clk_cnt\[8\],0.46µm
net109,0.46µm
