Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_251,VGND,li1,121.2100,92.4800,0.000136
FILLER_29_247,VGND,li1,120.0600,92.4800,0.000136
FILLER_29_225,VGND,li1,109.4800,92.4800,0.000136
FILLER_29_212,VGND,li1,103.5000,92.4800,0.000136
FILLER_29_199,VGND,li1,97.5200,92.4800,0.000136
FILLER_29_191,VGND,li1,95.2200,92.4800,0.000136
FILLER_29_173,VGND,li1,85.3300,92.4800,0.000135
FILLER_29_169,VGND,li1,84.1800,92.4800,0.000135
FILLER_29_162,VGND,li1,81.4200,92.4800,0.000135
FILLER_29_133,VGND,li1,67.6200,92.4800,0.000132
FILLER_29_110,VGND,li1,56.5800,92.4800,0.000122
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000069
FILLER_29_27,VGND,li1,19.7800,92.4800,0.000047
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000047
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000047
FILLER_28_250,VGND,li1,120.9800,87.0400,0.000212
FILLER_28_242,VGND,li1,118.6800,87.0400,0.000212
FILLER_28_228,VGND,li1,110.8600,87.0400,0.000212
FILLER_28_209,VGND,li1,104.4200,87.0400,0.000212
FILLER_28_197,VGND,li1,97.9800,87.0400,0.000212
FILLER_28_195,VGND,li1,95.4500,87.0400,0.000212
FILLER_28_191,VGND,li1,94.3000,87.0400,0.000212
FILLER_28_161,VGND,li1,80.5000,87.0400,0.000210
FILLER_28_145,VGND,li1,72.4500,87.0400,0.000206
FILLER_28_141,VGND,li1,71.3000,87.0400,0.000206
FILLER_28_137,VGND,li1,69.2300,87.0400,0.000205
FILLER_28_100,VGND,li1,51.9800,87.0400,0.000148
FILLER_28_92,VGND,li1,49.6800,87.0400,0.000139
FILLER_28_82,VGND,li1,43.7000,87.0400,0.000114
FILLER_28_58,VGND,li1,33.1200,87.0400,0.000077
FILLER_28_47,VGND,li1,27.8300,87.0400,0.000054
FILLER_28_37,VGND,li1,23.0000,87.0400,0.000045
FILLER_28_29,VGND,li1,20.7000,87.0400,0.000046
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000047
FILLER_28_15,VGND,li1,15.1800,87.0400,0.000047
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000047
FILLER_27_245,VGND,li1,118.9100,87.0400,0.000212
FILLER_27_223,VGND,li1,108.3300,87.0400,0.000212
FILLER_27_215,VGND,li1,106.2600,87.0400,0.000212
FILLER_27_169,VGND,li1,83.9500,87.0400,0.000211
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000211
FILLER_27_161,VGND,li1,80.9600,87.0400,0.000210
FILLER_27_125,VGND,li1,63.7100,87.0400,0.000189
FILLER_27_113,VGND,li1,58.4200,87.0400,0.000171
FILLER_27_105,VGND,li1,54.0500,87.0400,0.000155
FILLER_27_93,VGND,li1,51.0600,87.0400,0.000139
FILLER_27_78,VGND,li1,42.7800,87.0400,0.000114
FILLER_27_49,VGND,li1,28.2900,87.0400,0.000054
FILLER_27_37,VGND,li1,23.0000,87.0400,0.000045
FILLER_27_15,VGND,li1,12.8800,87.0400,0.000047
FILLER_27_3,VGND,li1,9.6600,87.0400,0.000047
FILLER_26_249,VGND,li1,120.7500,81.6000,0.000077
FILLER_26_241,VGND,li1,118.2200,81.6000,0.000077
FILLER_26_229,VGND,li1,113.6200,81.6000,0.000077
FILLER_26_217,VGND,li1,108.1000,81.6000,0.000077
FILLER_26_184,VGND,li1,92.9200,81.6000,0.000077
FILLER_26_172,VGND,li1,87.4000,81.6000,0.000077
FILLER_26_141,VGND,li1,71.0700,81.6000,0.000071
FILLER_26_133,VGND,li1,66.9300,81.6000,0.000069
FILLER_26_121,VGND,li1,63.9400,81.6000,0.000067
FILLER_26_97,VGND,li1,51.0600,81.6000,0.000055
FILLER_26_85,VGND,li1,47.3800,81.6000,0.000051
FILLER_26_82,VGND,li1,43.7000,81.6000,0.000046
FILLER_26_74,VGND,li1,41.4000,81.6000,0.000042
FILLER_26_62,VGND,li1,36.8000,81.6000,0.000037
FILLER_26_54,VGND,li1,30.8200,81.6000,0.000029
FILLER_26_46,VGND,li1,28.5200,81.6000,0.000025
FILLER_26_29,VGND,li1,19.3200,81.6000,0.000022
FILLER_26_15,VGND,li1,13.3400,81.6000,0.000023
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000023
FILLER_25_250,VGND,li1,120.9800,81.6000,0.000077
FILLER_25_238,VGND,li1,117.7600,81.6000,0.000077
FILLER_25_225,VGND,li1,110.4000,81.6000,0.000077
FILLER_25_223,VGND,li1,108.3300,81.6000,0.000077
FILLER_25_216,VGND,li1,105.1100,81.6000,0.000077
FILLER_25_204,VGND,li1,102.1200,81.6000,0.000077
FILLER_25_192,VGND,li1,96.6000,81.6000,0.000077
FILLER_25_169,VGND,li1,84.6400,81.6000,0.000077
FILLER_25_166,VGND,li1,82.3400,81.6000,0.000077
FILLER_25_158,VGND,li1,80.0400,81.6000,0.000076
FILLER_25_145,VGND,li1,72.4500,81.6000,0.000073
FILLER_25_133,VGND,li1,69.4600,81.6000,0.000071
FILLER_25_121,VGND,li1,63.9400,81.6000,0.000067
FILLER_25_113,VGND,li1,57.9600,81.6000,0.000062
FILLER_25_111,VGND,li1,56.8100,81.6000,0.000061
FILLER_25_107,VGND,li1,55.6600,81.6000,0.000061
FILLER_25_95,VGND,li1,51.9800,81.6000,0.000055
FILLER_25_80,VGND,li1,45.0800,81.6000,0.000046
FILLER_25_70,VGND,li1,37.9500,81.6000,0.000037
FILLER_25_66,VGND,li1,36.8000,81.6000,0.000037
FILLER_25_55,VGND,li1,31.0500,81.6000,0.000029
FILLER_25_47,VGND,li1,28.9800,81.6000,0.000025
FILLER_25_35,VGND,li1,24.3800,81.6000,0.000019
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000023
FILLER_24_229,VGND,li1,111.5500,76.1600,0.000129
FILLER_24_217,VGND,li1,108.1000,76.1600,0.000129
FILLER_24_194,VGND,li1,95.2200,76.1600,0.000129
FILLER_24_186,VGND,li1,92.9200,76.1600,0.000129
FILLER_24_165,VGND,li1,81.6500,76.1600,0.000125
FILLER_24_161,VGND,li1,80.5000,76.1600,0.000125
FILLER_24_134,VGND,li1,68.5400,76.1600,0.000114
FILLER_24_122,VGND,li1,64.4000,76.1600,0.000110
FILLER_24_111,VGND,li1,57.5000,76.1600,0.000102
FILLER_24_60,VGND,li1,34.0400,76.1600,0.000059
FILLER_24_37,VGND,li1,23.2300,76.1600,0.000033
FILLER_24_29,VGND,li1,20.7000,76.1600,0.000033
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000033
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000033
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000033
FILLER_23_245,VGND,li1,118.9100,76.1600,0.000129
FILLER_23_210,VGND,li1,103.9600,76.1600,0.000129
FILLER_23_197,VGND,li1,97.0600,76.1600,0.000129
FILLER_23_165,VGND,li1,82.1100,76.1600,0.000125
FILLER_23_113,VGND,li1,58.4200,76.1600,0.000102
FILLER_23_106,VGND,li1,55.6600,76.1600,0.000099
FILLER_23_83,VGND,li1,45.5400,76.1600,0.000082
FILLER_23_57,VGND,li1,33.1200,76.1600,0.000052
FILLER_23_53,VGND,li1,30.5900,76.1600,0.000045
FILLER_23_39,VGND,li1,24.8400,76.1600,0.000033
FILLER_23_27,VGND,li1,20.7000,76.1600,0.000033
FILLER_23_15,VGND,li1,15.1800,76.1600,0.000033
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000033
FILLER_22_251,VGND,li1,121.2100,70.7200,0.000158
FILLER_22_243,VGND,li1,119.1400,70.7200,0.000158
FILLER_22_231,VGND,li1,114.5400,70.7200,0.000158
FILLER_22_217,VGND,li1,106.7200,70.7200,0.000158
FILLER_22_195,VGND,li1,95.4500,70.7200,0.000158
FILLER_22_183,VGND,li1,92.4600,70.7200,0.000158
FILLER_22_173,VGND,li1,85.3300,70.7200,0.000158
FILLER_22_167,VGND,li1,83.7200,70.7200,0.000158
FILLER_22_155,VGND,li1,79.5800,70.7200,0.000158
FILLER_22_141,VGND,li1,70.8400,70.7200,0.000158
FILLER_22_128,VGND,li1,67.1600,70.7200,0.000158
FILLER_22_85,VGND,li1,45.3100,70.7200,0.000135
FILLER_22_81,VGND,li1,43.4700,70.7200,0.000127
FILLER_22_71,VGND,li1,38.4100,70.7200,0.000101
FILLER_22_67,VGND,li1,37.2600,70.7200,0.000101
FILLER_22_38,VGND,li1,23.2300,70.7200,0.000049
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000051
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000051
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000051
FILLER_21_246,VGND,li1,119.1400,70.7200,0.000158
FILLER_21_237,VGND,li1,115.2300,70.7200,0.000158
FILLER_21_225,VGND,li1,111.7800,70.7200,0.000158
FILLER_21_220,VGND,li1,107.6400,70.7200,0.000158
FILLER_21_206,VGND,li1,102.1200,70.7200,0.000158
FILLER_21_193,VGND,li1,95.2200,70.7200,0.000158
FILLER_21_181,VGND,li1,91.5400,70.7200,0.000158
FILLER_21_169,VGND,li1,86.0200,70.7200,0.000158
FILLER_21_164,VGND,li1,81.8800,70.7200,0.000158
FILLER_21_152,VGND,li1,78.2000,70.7200,0.000158
FILLER_21_145,VGND,li1,72.4500,70.7200,0.000158
FILLER_21_137,VGND,li1,70.3800,70.7200,0.000158
FILLER_21_125,VGND,li1,65.7800,70.7200,0.000157
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000157
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000155
FILLER_21_99,VGND,li1,51.7500,70.7200,0.000152
FILLER_21_93,VGND,li1,48.9900,70.7200,0.000150
FILLER_21_81,VGND,li1,45.5400,70.7200,0.000135
FILLER_21_69,VGND,li1,40.0200,70.7200,0.000113
FILLER_21_57,VGND,li1,34.5000,70.7200,0.000089
FILLER_21_40,VGND,li1,24.1500,70.7200,0.000049
FILLER_21_15,VGND,li1,12.8800,70.7200,0.000051
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000051
FILLER_20_250,VGND,li1,120.9800,65.2800,0.000103
FILLER_20_229,VGND,li1,111.0900,65.2800,0.000103
FILLER_20_225,VGND,li1,109.9400,65.2800,0.000103
FILLER_20_197,VGND,li1,97.0600,65.2800,0.000103
FILLER_20_195,VGND,li1,95.4500,65.2800,0.000103
FILLER_20_191,VGND,li1,94.3000,65.2800,0.000103
FILLER_20_182,VGND,li1,89.4700,65.2800,0.000103
FILLER_20_169,VGND,li1,84.1800,65.2800,0.000102
FILLER_20_138,VGND,li1,69.4600,65.2800,0.000092
FILLER_20_126,VGND,li1,66.2400,65.2800,0.000090
FILLER_20_91,VGND,li1,47.8400,65.2800,0.000068
FILLER_20_61,VGND,li1,34.2700,65.2800,0.000045
FILLER_20_53,VGND,li1,31.7400,65.2800,0.000039
FILLER_20_41,VGND,li1,25.7600,65.2800,0.000026
FILLER_20_29,VGND,li1,21.6200,65.2800,0.000022
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000022
FILLER_20_15,VGND,li1,15.1800,65.2800,0.000022
FILLER_20_3,VGND,li1,9.6600,65.2800,0.000022
FILLER_19_249,VGND,li1,120.7500,65.2800,0.000103
FILLER_19_237,VGND,li1,117.3000,65.2800,0.000103
FILLER_19_229,VGND,li1,111.0900,65.2800,0.000103
FILLER_19_225,VGND,li1,109.9400,65.2800,0.000103
FILLER_19_223,VGND,li1,108.3300,65.2800,0.000103
FILLER_19_219,VGND,li1,107.1800,65.2800,0.000103
FILLER_19_195,VGND,li1,97.9800,65.2800,0.000103
